5.999999999999999778e-01,3.500000000000000000e+00
5.999999999999999778e-01,3.500000000000000000e+00
6.396551240696227714e-01,3.503894400404979681e+00
7.177317830247585961e-01,3.516049843780213902e+00
8.338950226372244812e-01,3.532649508732384369e+00
9.871053204169628614e-01,3.547376066034206854e+00
1.175262357890351383e+00,3.556557455289591996e+00
1.386189238257855116e+00,3.557778015468216370e+00
1.596562034812492259e+00,3.555070009021810584e+00
1.803118004463493573e+00,3.550914015557489645e+00
2.007707279496071084e+00,3.546569314054023980e+00
2.210373461072571821e+00,3.542017674532830451e+00
2.411268640677548980e+00,3.534872294036701224e+00
2.607209029667849176e+00,3.523494068037939630e+00
2.809305225356099722e+00,3.514416476791386135e+00
3.009528820438561070e+00,3.509284252515818547e+00
3.209988876266169910e+00,3.507156160616242246e+00
3.412037921831858611e+00,3.508268238715003040e+00
3.623271782132899244e+00,3.510220440997554814e+00
3.824021669615526253e+00,3.513491806719611255e+00
